Time(s), CPU%, Memory(MB)
1750803220.333854, 0.2, 55.71875
1750803221.3409128, 0.1, 55.71875
1750803222.347645, 0.1, 55.71875
1750803223.352949, 0.1, 55.71875
1750803224.357056, 0.1, 55.71875
1750803225.360445, 0.1, 55.71875
1750803226.36404, 0.1, 55.71875
1750803227.3709528, 0.1, 55.71875
1750803228.3934631, 0.1, 55.71875
1750803229.402527, 0.1, 55.71875
1750803230.410034, 0.1, 55.71875
1750803231.4332879, 0.1, 55.71875
1750803232.441801, 0.1, 55.71875
1750803233.44719, 0.1, 55.71875
1750803234.45212, 0.1, 55.71875
1750803235.456107, 0.1, 55.71875
1750803236.460608, 0.1, 55.71875
1750803237.4686341, 0.1, 55.71875
1750803238.474926, 0.1, 55.71875
1750803239.48869, 0.2, 55.71875
1750803240.497301, 0.1, 55.71875
1750803241.501625, 0.1, 55.71875
1750803242.505759, 0.1, 55.71875
1750803243.509768, 0.1, 55.71875
1750803244.514409, 0.1, 55.71875
1750803245.5196311, 0.1, 55.71875
1750803246.529664, 0.1, 55.71875
1750803247.536322, 0.1, 55.71875
1750803248.544238, 0.1, 55.71875
1750803249.5511239, 0.1, 55.71875
1750803250.55625, 0.1, 55.71875
1750803251.568459, 0.1, 55.71875
1750803252.5782442, 0.2, 55.71875
1750803253.582735, 0.1, 55.71875
1750803254.586426, 0.1, 55.71875
1750803255.5941272, 0.1, 55.71875
1750803256.6047318, 0.1, 55.71875
1750803257.613292, 0.1, 55.71875
1750803258.617852, 0.1, 55.71875
1750803259.620656, 0.1, 55.71875
1750803260.624276, 0.1, 55.71875
1750803261.627912, 0.1, 55.71875
1750803262.6343172, 0.1, 55.71875
1750803263.638153, 0.1, 55.71875
1750803264.64138, 0.1, 55.71875
1750803265.645421, 0.1, 55.71875
1750803266.650196, 0.1, 55.71875
1750803267.6554198, 0.1, 55.71875
1750803268.662549, 0.1, 55.71875
1750803269.667117, 0.1, 55.71875
1750803270.671529, 0.1, 55.71875
1750803271.676498, 0.1, 55.71875
1750803272.680823, 0.1, 55.71875
1750803273.684049, 0.1, 55.71875
1750803274.68811, 0.1, 55.71875
1750803275.693053, 0.1, 55.71875
1750803276.699956, 0.1, 55.71875
1750803277.703437, 0.1, 55.71875
1750803278.7082748, 0.1, 55.71875
1750803279.715244, 0.1, 55.71875
1750803280.723706, 0.1, 55.71875
1750803281.727071, 0.1, 55.71875
1750803282.7316139, 0.1, 55.71875
1750803283.7410262, 0.1, 55.71875
1750803284.7484329, 0.1, 55.71875
1750803285.7562392, 0.1, 55.71875
1750803286.759203, 0.1, 55.71875
1750803287.7618382, 0.1, 55.71875
1750803288.767749, 0.1, 55.71875
1750803289.769608, 0.1, 55.71875
1750803290.77427, 0.1, 55.71875
1750803291.7802722, 0.1, 55.71875
1750803292.792212, 0.1, 55.71875
1750803293.797699, 0.1, 55.71875
1750803294.801177, 0.1, 55.71875
1750803295.806488, 0.1, 55.71875
1750803296.8108249, 0.1, 55.71875
1750803297.814254, 0.1, 55.71875
1750803298.818005, 0.1, 55.71875
1750803299.821047, 0.1, 55.71875
1750803300.825259, 0.1, 55.71875
1750803301.829064, 0.1, 55.71875
1750803302.835449, 0.1, 55.71875
1750803303.844405, 0.1, 55.71875
1750803304.848814, 0.1, 55.71875
1750803305.8532639, 0.1, 55.71875
1750803306.85615, 0.0, 55.71875
1750803307.859565, 0.1, 55.71875
1750803308.8627121, 0.1, 55.71875
1750803309.867318, 0.1, 55.71875
1750803310.872007, 0.1, 55.71875
1750803311.875617, 0.1, 55.71875
1750803312.879308, 0.1, 55.71875
1750803313.883615, 0.1, 55.71875
1750803314.889987, 0.1, 55.71875
1750803315.894363, 0.1, 55.71875
1750803316.8986099, 0.1, 55.71875
1750803317.910433, 0.1, 55.71875
1750803318.914378, 0.1, 55.71875
1750803319.919789, 0.1, 55.71875
1750803320.940546, 0.1, 55.71875
1750803321.949874, 0.1, 55.71875
1750803322.9566069, 0.1, 55.71875
1750803323.9608371, 0.1, 55.71875
1750803324.969182, 0.1, 55.71875
1750803325.977771, 0.1, 55.71875
1750803326.984757, 0.1, 55.71875
1750803327.99048, 0.1, 55.71875
1750803328.996384, 0.1, 55.71875
1750803330.006125, 0.1, 55.71875
1750803331.011701, 0.1, 55.71875
1750803332.01548, 0.1, 55.71875
1750803333.019603, 0.1, 55.71875
1750803334.0232441, 0.1, 55.71875
1750803335.028478, 0.1, 55.71875
1750803336.0334022, 0.1, 55.71875
1750803337.036285, 0.1, 55.71875
1750803338.040798, 0.1, 55.71875
1750803339.047464, 0.1, 55.71875
1750803340.050626, 0.1, 55.71875
1750803341.054879, 0.1, 55.71875
1750803342.060877, 0.1, 55.71875
1750803343.070144, 0.1, 55.71875
1750803344.073159, 0.1, 55.71875
1750803345.078712, 0.1, 55.71875
1750803346.081759, 0.1, 55.71875
1750803347.0862, 0.1, 55.71875
1750803348.089646, 0.1, 55.71875
1750803349.10148, 0.1, 55.71875
1750803350.104702, 0.1, 55.71875
1750803351.109823, 0.1, 55.71875
1750803352.114603, 0.1, 55.71875
1750803353.118643, 0.1, 55.71875
